Function,Learning Rate,Optimizer,Activation,Hidden Size,Final Loss,Accurcy
generate_linear,0.001,SGD,sigmoid,10,0.19017807346409213,0.81
generate_linear,0.001,SGD,sigmoid,20,0.08030293185278653,0.94
generate_linear,0.001,SGD,sigmoid,30,0.05794773468990357,0.99
generate_linear,0.001,SGD,ReLU,10,0.59,0.41
generate_linear,0.001,SGD,ReLU,20,0.0024496168827724215,1.0
generate_linear,0.001,SGD,ReLU,30,0.59,0.41
generate_linear,0.001,SGD,tanh,10,0.014775991153444698,1.0
generate_linear,0.001,SGD,tanh,20,0.01339200732431127,1.0
generate_linear,0.001,SGD,tanh,30,0.00439022735305808,1.0
generate_linear,0.001,SGD,none_activation,10,0.08288560121845163,0.99
generate_linear,0.001,SGD,none_activation,20,0.08288560121845161,0.99
generate_linear,0.001,SGD,none_activation,30,,0.41
generate_linear,0.001,Momentum,sigmoid,10,0.014059611338012526,1.0
generate_linear,0.001,Momentum,sigmoid,20,0.013122595257731686,1.0
generate_linear,0.001,Momentum,sigmoid,30,0.012807263436198315,1.0
generate_linear,0.001,Momentum,ReLU,10,0.59,0.41
generate_linear,0.001,Momentum,ReLU,20,0.59,0.41
generate_linear,0.001,Momentum,ReLU,30,0.59,0.41
generate_linear,0.001,Momentum,tanh,10,0.002325266980768347,1.0
generate_linear,0.001,Momentum,tanh,20,0.0010560912289651649,1.0
generate_linear,0.001,Momentum,tanh,30,0.0006194888253903825,1.0
generate_linear,0.001,Momentum,none_activation,10,0.08288560121845163,0.99
generate_linear,0.001,Momentum,none_activation,20,0.0828856012184518,0.99
generate_linear,0.001,Momentum,none_activation,30,,0.41
generate_linear,0.001,Adagrad,sigmoid,10,0.080940890096449,0.96
generate_linear,0.001,Adagrad,sigmoid,20,0.04839818914979593,0.99
generate_linear,0.001,Adagrad,sigmoid,30,0.02931519415252952,1.0
generate_linear,0.001,Adagrad,ReLU,10,0.59,0.41
generate_linear,0.001,Adagrad,ReLU,20,0.59,0.41
generate_linear,0.001,Adagrad,ReLU,30,0.028961510035334113,0.98
generate_linear,0.001,Adagrad,tanh,10,0.01191821363546569,1.0
generate_linear,0.001,Adagrad,tanh,20,0.006466480053987592,1.0
generate_linear,0.001,Adagrad,tanh,30,0.004073456087917327,1.0
generate_linear,0.001,Adagrad,none_activation,10,0.23209345077782625,0.8
generate_linear,0.001,Adagrad,none_activation,20,0.08288560121845148,0.99
generate_linear,0.001,Adagrad,none_activation,30,0.08288560121845155,0.99
generate_linear,0.001,Adam,sigmoid,10,4.947934094955188e-11,1.0
generate_linear,0.001,Adam,sigmoid,20,4.406135594544558e-11,1.0
generate_linear,0.001,Adam,sigmoid,30,4.310945854367315e-11,1.0
generate_linear,0.001,Adam,ReLU,10,0.59,0.41
generate_linear,0.001,Adam,ReLU,20,1.9393822165766592e-08,1.0
generate_linear,0.001,Adam,ReLU,30,0.59,0.41
generate_linear,0.001,Adam,tanh,10,1.2910543683702907e-07,1.0
generate_linear,0.001,Adam,tanh,20,9.391041786382539e-08,1.0
generate_linear,0.001,Adam,tanh,30,2.3965718996961877e-07,1.0
generate_linear,0.001,Adam,none_activation,10,0.08288560121845706,0.99
generate_linear,0.001,Adam,none_activation,20,0.0828856012184515,0.99
generate_linear,0.001,Adam,none_activation,30,0.08288560121845169,0.99
generate_linear,0.01,SGD,sigmoid,10,0.015378487687512751,1.0
generate_linear,0.01,SGD,sigmoid,20,0.013792541946040309,1.0
generate_linear,0.01,SGD,sigmoid,30,0.011456406524909899,1.0
generate_linear,0.01,SGD,ReLU,10,0.59,0.41
generate_linear,0.01,SGD,ReLU,20,0.59,0.41
generate_linear,0.01,SGD,ReLU,30,0.59,0.41
generate_linear,0.01,SGD,tanh,10,0.010758921779358587,1.0
